종목코드,종목명,종가,대비,등락률,상장시가총액
5930,삼성전자,77300,-100,-0.13,4.61E+08
660,SK하이닉스,104000,-1500,-1.42,7.57E+07
35420,NAVER,405500,5500,1.38,6.66E+07
207940,삼성바이오로직스,922000,2000,0.22,6.10E+07
51910,LG화학,761000,1000,0.13,5.37E+07
35720,카카오,119500,4500,3.91,5.32E+07
6400,삼성SDI,726000,-5000,-0.68,4.99E+07
5380,현대차,207000,-1500,-0.72,4.42E+07
68270,셀트리온,274500,-10000,-3.51,3.79E+07
270,기아,82600,-1600,-1.9,3.35E+07
323410,카카오뱅크,69000,2600,3.92,3.28E+07
5490,POSCO,345000,-1500,-0.43,3.01E+07
12330,현대모비스,260000,-3000,-1.14,2.46E+07
259960,크래프톤,493000,-7000,-1.4,2.41E+07
28260,삼성물산,128000,-2500,-1.92,2.39E+07
96770,SK이노베이션,249000,3500,1.43,2.30E+07
66570,LG전자,139500,-1000,-0.71,2.28E+07
17670,SK텔레콤,308500,-1500,-0.48,2.22E+07
105560,KB금융,53000,1500,2.91,2.20E+07
302440,SK바이오사이언스,274500,15500,5.98,2.10E+07
51900,LG생활건강,1339000,2000,0.15,2.09E+07
55550,신한지주,39650,700,1.8,2.05E+07
34730,SK,269000,-2500,-0.92,1.89E+07
361610,SK아이이테크놀로지,217000,-3000,-1.36,1.55E+07
11200,HMM,38050,200,0.53,1.54E+07
15760,한국전력,23800,-400,-1.65,1.53E+07
3550,LG,95200,-100,-0.1,1.50E+07
32830,삼성생명,72400,600,0.84,1.45E+07
86790,하나금융지주,44850,550,1.24,1.35E+07
9150,삼성전기,178500,1500,0.85,1.33E+07
36570,엔씨소프트,596000,12000,2.05,1.31E+07
18260,삼성에스디에스,164000,-1500,-0.91,1.27E+07
3670,포스코케미칼,162000,4000,2.53,1.25E+07
10950,S-Oil,105000,1000,0.96,1.18E+07
3490,대한항공,34250,50,0.15,1.19E+07
33780,KT&G,81100,200,0.25,1.11E+07
810,삼성화재,228500,1000,0.44,1.08E+07
90430,아모레퍼시픽,184500,-5000,-2.64,1.08E+07
34020,두산중공업,20550,-550,-2.61,1.06E+07
352820,하이브,268000,-2500,-0.92,1.05E+07
251270,넷마블,120000,-1000,-0.83,1.03E+07
10130,고려아연,512000,2000,0.39,9661440
11170,롯데케미칼,256000,-2500,-0.97,8774507
18880,한온시스템,16200,-100,-0.61,8647560
30200,KT,32450,-50,-0.15,8473078
326030,SK바이오팜,107000,-2500,-2.28,8379518
316140,우리금융지주,11150,50,0.45,8117875
9830,한화솔루션,40750,-1350,-3.21,7794599
24110,기업은행,10150,50,0.5,7554651
9540,한국조선해양,102000,1000,0.99,7218858
34220,LG디스플레이,18950,-450,-2.32,6780608
86280,현대글로비스,176000,-1000,-0.56,6600000
11790,SKC,176000,1500,0.86,6664820
32640,LG유플러스,14800,50,0.34,6461848
4020,현대제철,48650,-100,-0.21,6492137
97950,CJ제일제당,430000,-2500,-0.58,6473300
35250,강원랜드,28150,-250,-0.88,6022425
720,현대건설,53200,-1400,-2.56,5924127
11780,금호석유,194500,-6000,-2.99,5925966
161390,한국타이어앤테크놀로지,44900,550,1.24,5561991
6800,미래에셋증권,8860,50,0.57,5628903
21240,코웨이,76000,-1100,-1.43,5608771
267250,현대중공업지주,64100,-300,-0.47,5063457
